;state;brewery_type;brewery_count
0;Arizona;micro;3
1;California;closed;1
2;California;large;1
3;California;micro;2
4;Colorado;brewpub;1
5;Colorado;large;1
6;Colorado;micro;1
7;Colorado;proprietor;1
8;Delaware;micro;1
9;Idaho;large;1
10;Illinois;micro;1
11;Indiana;micro;3
12;Iowa;micro;1
13;Laois;micro;1
14;Maryland;contract;1
15;Massachusetts;micro;1
16;Michigan;micro;1
17;Minnesota;micro;3
18;Mississippi;micro;1
19;Nevada;micro;1
20;New York;brewpub;2
21;North Carolina;brewpub;1
22;North Carolina;micro;1
23;Ohio;brewpub;1
24;Ohio;micro;1
25;Oklahoma;micro;1
26;Oregon;brewpub;2
27;Oregon;large;4
28;Pennsylvania;micro;1
29;South Carolina;brewpub;1
30;Texas;micro;2
31;Vermont;micro;1
32;Virginia;micro;1
33;Washington;closed;1
34;Washington;micro;1
35;Wisconsin;micro;2
36;Colorado;brewpub;1
37;Colorado;large;1
38;Colorado;micro;1
39;Colorado;proprietor;1
